District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
중구,35284,26223,9784,37.59,14167,54.44,1861,7.15,184,0.7,26,0.09,0,0,0.0
서구,92886,71591,26800,37.72,38496,54.19,5081,7.15,583,0.82,72,0.1,0,0,0.0
동구,77893,59632,22744,38.43,31875,53.86,4061,6.86,429,0.72,66,0.11,0,0,0.0
영도구,93909,70342,29962,42.88,35217,50.4,4133,5.91,482,0.68,69,0.09,0,0,0.0
부산진구,325663,252934,101093,40.27,126802,50.52,20697,8.24,2156,0.85,245,0.09,0,0,0.0
동래구,235338,189601,74245,39.41,97629,51.83,14656,7.78,1663,0.88,154,0.08,0,0,0.0
남구,201305,155316,57935,37.53,84124,54.5,10989,7.11,1180,0.76,127,0.08,0,0,0.0
북구,234995,187682,77258,41.44,93564,50.19,13884,7.44,1501,0.8,183,0.09,0,0,0.0
해운대구,296761,227332,83296,36.86,125620,55.59,15203,6.72,1650,0.73,204,0.09,0,0,0.0
기장군,145228,112103,48742,43.76,53493,48.03,8181,7.34,847,0.76,107,0.09,0,0,0.0
사하구,237168,177914,71161,40.24,92847,52.51,11264,6.37,1354,0.76,173,0.09,0,0,0.0
금정구,188148,149515,55470,37.34,79737,53.68,11899,8.01,1306,0.87,117,0.07,0,0,0.0
강서구,98400,75983,33900,44.87,35201,46.59,5766,7.63,604,0.79,68,0.09,0,0,0.0
연제구,165558,128677,48118,37.63,69441,54.31,9122,7.13,1052,0.82,115,0.08,0,0,0.0
수영구,153669,119331,44558,37.62,63669,53.76,9057,7.64,1049,0.88,94,0.07,0,0,0.0
사상구,177732,137524,55947,40.98,69397,50.83,9858,7.22,1149,0.84,169,0.12,0,0,0.0
