District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
중구,115248,82140,40221,49.29,33741,41.34,6817,8.35,750,0.91,70,0.08,0,0,0.0
동구,45243,35008,16805,48.35,15165,43.63,2317,6.66,412,1.18,53,0.15,0,0,0.0
미추홀구,330587,238576,115792,48.88,99497,42.0,18953,8.0,2336,0.98,268,0.11,0,0,0.0
연수구,299518,236208,110673,47.13,99796,42.5,21816,9.29,2343,0.99,176,0.07,0,0,0.0
남동구,246096,191039,100702,53.06,72950,38.44,14061,7.4,1861,0.98,195,0.1,0,0,0.0
부평구,350867,263370,133896,51.2,103302,39.5,21199,8.1,2809,1.07,269,0.1,0,0,0.0
계양구,114337,95583,56922,59.95,30439,32.06,6609,6.96,892,0.93,73,0.07,0,0,0.0
서구,347725,253098,127124,50.55,99895,39.72,21677,8.62,2490,0.99,266,0.1,0,0,0.0
강화군,63399,48634,19095,39.51,26323,54.46,2497,5.16,367,0.75,47,0.09,0,0,0.0
옹진군,18554,14603,5369,37.24,7816,54.22,1102,7.64,104,0.72,23,0.15,0,0,0.0
