City_Code,City_Name,District_Code,District_Name,Precinct,PollStation,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,국민의힘김문수_Votes,개혁신당이준석_Votes,민주노동당권영국_Votes,무소속송진호_Votes,Invalid_Votes,Abstentions
1100,서울특별시,1101,종로구,청운효자동,관내사전투표,3190,3190,2175,689,211,92,4,19,0
1100,서울특별시,1101,종로구,청운효자동,청운효자동제1투,2074,1410,454,789,117,37,1,12,664
1100,서울특별시,1101,종로구,청운효자동,청운효자동제2투,1731,1122,369,638,79,28,0,8,609
1100,서울특별시,1101,종로구,청운효자동,청운효자동제3투,1852,1300,481,673,96,33,3,14,552
1100,서울특별시,1101,종로구,사직동,관내사전투표,1769,1769,1057,492,160,47,2,11,0
1100,서울특별시,1101,종로구,사직동,사직동제1투,1546,1053,357,577,84,22,4,9,493
1100,서울특별시,1101,종로구,사직동,사직동제2투,3622,2340,516,1569,186,45,1,23,1282
1100,서울특별시,1101,종로구,삼청동,관내사전투표,539,539,325,148,49,14,1,2,0
1100,서울특별시,1101,종로구,삼청동,삼청동투표소,1180,750,222,463,47,14,0,4,430
1100,서울특별시,1101,종로구,부암동,관내사전투표,1834,1833,1262,440,95,27,0,9,1
1100,서울특별시,1101,종로구,부암동,부암동제1투,1452,942,300,558,60,13,0,11,510
1100,서울특별시,1101,종로구,부암동,부암동제2투,1753,1240,496,641,76,19,0,8,513
1100,서울특별시,1101,종로구,부암동,부암동제3투,1755,1189,371,697,80,34,0,7,566
1100,서울특별시,1101,종로구,평창동,관내사전투표,3035,3035,1922,876,169,44,2,22,0
1100,서울특별시,1101,종로구,평창동,평창동제1투,1980,1281,341,820,90,24,1,5,699
1100,서울특별시,1101,종로구,평창동,평창동제2투,2897,1939,389,1396,118,22,2,12,958
1100,서울특별시,1101,종로구,평창동,평창동제3투,1714,1226,373,737,85,26,0,5,488
1100,서울특별시,1101,종로구,평창동,평창동제4투,1620,1145,398,624,92,19,1,11,475
1100,서울특별시,1101,종로구,평창동,평창동제5투,1679,1162,297,770,70,19,1,5,517
1100,서울특별시,1101,종로구,무악동,관내사전투표,2006,2006,1300,486,181,31,1,7,0
1100,서울특별시,1101,종로구,무악동,무악동제1투,1679,1272,416,690,123,28,2,13,407
1100,서울특별시,1101,종로구,무악동,무악동제2투,2175,1548,517,860,117,38,0,16,627
1100,서울특별시,1101,종로구,교남동,관내사전투표,2195,2195,1438,534,165,43,0,15,0
1100,서울특별시,1101,종로구,교남동,교남동제1투,1348,852,331,442,54,15,2,8,496
1100,서울특별시,1101,종로구,교남동,교남동제2투,1226,820,252,472,73,16,0,7,406
1100,서울특별시,1101,종로구,교남동,교남동제3투,2568,2024,564,1166,252,29,2,11,544
1100,서울특별시,1101,종로구,가회동,관내사전투표,1288,1288,900,267,89,22,2,8,0
1100,서울특별시,1101,종로구,가회동,가회동투표소,1957,1209,387,699,73,35,4,11,748
1100,서울특별시,1101,종로구,종로1·2·3·4가동,관내사전투표,1589,1589,998,446,120,16,1,8,0
1100,서울특별시,1101,종로구,종로1·2·3·4가동,종로1·2·3·4가동제1투,1739,939,252,581,92,8,1,5,800
1100,서울특별시,1101,종로구,종로1·2·3·4가동,종로1·2·3·4가동제2투,2224,1237,356,748,108,17,1,7,987
1100,서울특별시,1101,종로구,종로5·6가동,관내사전투표,1253,1253,788,330,114,13,1,7,0
1100,서울특별시,1101,종로구,종로5·6가동,종로5·6가동제1투,1790,1099,348,546,172,22,3,8,691
1100,서울특별시,1101,종로구,종로5·6가동,종로5·6가동제2투,1170,687,225,402,48,6,1,5,483
1100,서울특별시,1101,종로구,이화동,관내사전투표,2273,2273,1423,524,265,43,1,17,0
1100,서울특별시,1101,종로구,이화동,이화동제1투,1977,1319,489,647,144,26,2,11,658
1100,서울특별시,1101,종로구,이화동,이화동제2투,1891,1241,411,642,148,19,3,18,650
1100,서울특별시,1101,종로구,혜화동,관내사전투표,4304,4304,2667,866,606,115,1,49,0
1100,서울특별시,1101,종로구,혜화동,혜화동제1투,2035,1391,495,707,143,30,1,15,644
1100,서울특별시,1101,종로구,혜화동,혜화동제2투,2018,1350,425,715,169,28,2,11,668
1100,서울특별시,1101,종로구,혜화동,혜화동제3투,1835,1222,346,655,180,26,0,15,613
1100,서울특별시,1101,종로구,혜화동,혜화동제4투,1430,962,306,477,152,14,0,13,468
1100,서울특별시,1101,종로구,혜화동,혜화동제5투,1263,821,299,387,104,20,2,9,442
1100,서울특별시,1101,종로구,창신제1동,관내사전투표,2107,2107,1437,474,152,30,1,13,0
1100,서울특별시,1101,종로구,창신제1동,창신제1동제1투,663,323,125,182,15,0,1,0,340
1100,서울특별시,1101,종로구,창신제1동,창신제1동제2투,1836,1207,476,583,120,13,2,13,629
1100,서울특별시,1101,종로구,창신제2동,관내사전투표,1925,1925,1435,391,82,3,3,11,0
1100,서울특별시,1101,종로구,창신제2동,창신제2동제1투,999,590,232,302,44,4,0,8,409
1100,서울특별시,1101,종로구,창신제2동,창신제2동제2투,1667,1045,459,505,56,14,1,10,622
1100,서울특별시,1101,종로구,창신제2동,창신제2동제3투,1395,794,328,384,65,9,1,7,601
1100,서울특별시,1101,종로구,창신제3동,관내사전투표,1625,1625,1144,369,88,18,0,6,0
1100,서울특별시,1101,종로구,창신제3동,창신제3동제1투,1165,714,303,346,61,3,0,1,451
1100,서울특별시,1101,종로구,창신제3동,창신제3동제2투,2093,1478,533,766,159,10,1,9,615
1100,서울특별시,1101,종로구,숭인제1동,관내사전투표,1433,1433,995,321,87,21,0,9,0
1100,서울특별시,1101,종로구,숭인제1동,숭인제1동제1투,1692,993,338,545,92,7,3,8,699
1100,서울특별시,1101,종로구,숭인제1동,숭인제1동제2투,1343,851,326,435,75,11,2,2,492
1100,서울특별시,1101,종로구,숭인제2동,관내사전투표,2264,2264,1542,494,186,24,1,17,0
1100,서울특별시,1101,종로구,숭인제2동,숭인제2동제1투,2627,1706,618,794,240,28,1,25,921
1100,서울특별시,1101,종로구,숭인제2동,숭인제2동제2투,1746,1062,388,558,92,11,1,12,684
1100,서울특별시,1101,종로구,숭인제2동,숭인제2동제3투,1535,938,394,454,71,11,2,6,597
1100,서울특별시,1102,중구,소공동,관내사전투표,540,540,335,126,65,12,0,2,0
1100,서울특별시,1102,중구,소공동,소공동제1투,327,175,54,96,19,5,0,1,152
1100,서울특별시,1102,중구,소공동,소공동제2투,988,706,209,404,71,14,1,7,282
1100,서울특별시,1102,중구,회현동,관내사전투표,949,949,576,284,75,8,1,5,0
1100,서울특별시,1102,중구,회현동,회현동제1투,2154,1292,332,834,99,10,1,16,862
1100,서울특별시,1102,중구,회현동,회현동제2투,470,230,69,143,10,3,1,4,240
1100,서울특별시,1102,중구,명동,관내사전투표,626,626,396,186,34,6,0,4,0
1100,서울특별시,1102,중구,명동,명동제1투,1184,725,146,520,51,5,1,2,459
1100,서울특별시,1102,중구,명동,명동제2투,84,39,10,25,2,1,0,1,45
1100,서울특별시,1102,중구,필동,관내사전투표,1711,1711,1098,364,214,17,0,18,0
